9catrank,Player,Games,FG%,FT%,3PM,PTS,REB,AST,STL,BLK,TO
294,Jordan Ford,3,60,100,0,4.666666667,1.333333333,0.666666667,0,0,0
295,Malachi Flynn,3,24.6,100,1,5.666666667,5,4,0.666666667,0.333333333,2
296,Quenton Jackson,3,55.56666667,100,0.666666667,5,1.333333333,1.333333333,0.333333333,0,1
297,Kira Lewis Jr.,4,43.225,83.33333333,1,8.25,1.75,2,1,0,1.25
298,Cory Joseph,1,0,0,0,0,3,3,1,0,0
299,Scoot Henderson,4,42.425,90,1.25,13.5,1.5,5.75,0.5,0,3.5
300,Sasha Vezenkov,5,32.42,100,1.2,6.8,4.2,0.6,0.2,0.2,0.6
301,Anthony Gill,1,0,100,0,2,1,3,2,0,0
302,LeBron James,3,45.83333333,66.66666667,1.666666667,13.66666667,3.666666667,4.333333333,0.333333333,0.333333333,2
303,Makur Maker,1,25,100,0,4,3,1,1,0,0
304,Aaron Gordon,4,41.675,72.72727273,0,8,4.5,2.25,0.25,0.75,1.5
305,Terance Mann,4,61.775,75,0.25,6.5,3.5,1,0.75,0,1
306,Nassir Little,5,43.94,50,0.8,6,3.2,1.4,0.6,0,0.2
307,Kyle Lowry,2,50,0,1,4,2,4.5,0,0,2
308,Terry Taylor,4,40.55,100,0,4.75,4.75,1.75,0.25,0,1.25
309,Garrison Mathews,4,48.75,75,2,8.25,2,0.75,0.25,0,0.5
310,Lindy Waters III,4,47.775,50,1.25,7.75,2.75,0.75,0.5,0,0.25
311,Sandro Mamukelashvili,4,58.325,100,0.75,3.75,1.25,0.5,0.5,0,0.5
312,Dyson Daniels,4,45.525,28.57142857,1.25,8.75,4.5,2.25,1.5,0.5,1.5
313,Reggie Jackson,4,50.95,33.33333333,2.5,11.25,1.75,1.25,0.25,0.25,1.5
314,Ochai Agbaji,5,46.84,72.72727273,0.8,8.4,3,1,0.4,0.6,0.8
315,Justin Holiday,5,30,0,1.2,4.4,1.4,1.4,1,0.4,0.8
316,Braxton Key,5,34.9,81.81818182,0,6.2,3.6,1.8,0.6,0.6,2.2
317,Damian Jones,3,66.66666667,63.63636364,0,6.333333333,3.333333333,0,0,1.666666667,1
318,Javan Johnson,1,50,0,1,5,1,1,0,0,0
319,Javon Freeman-Liberty,3,37.86666667,50,0.333333333,6,2.666666667,1,0.666666667,0.333333333,0.666666667
320,Isaiah Mobley,3,55.56666667,50,0,5.666666667,2.333333333,1,0.333333333,1,1
321,Collin Gillespie,5,34.28,100,0.6,5.2,1.6,2.2,0.2,0.2,1
322,Jalen Brunson,3,41.66666667,86.66666667,0.666666667,10.33333333,2.666666667,3.333333333,0.333333333,0,1.666666667
323,Noah Clowney,3,60,66.66666667,0.333333333,5.666666667,5,0.333333333,0,0,1.333333333
324,Nicolas Batum,3,36.53333333,0,1,4.333333333,2.333333333,0.333333333,0.666666667,0,0.333333333
325,Orlando Robinson,4,65.275,50,0.25,7.75,4.25,1.25,0.5,0.25,1.75
326,Derrick Jones Jr.,2,50,50,0,5.5,3,0,0.5,0.5,0
327,Joe Ingles,2,41.65,0,1,4,1.5,1,0,1,0.5
328,Lester Quinones,3,25,80,0.666666667,6.666666667,3,2.333333333,0.333333333,0.333333333,0.666666667
329,Seth Lundy,4,44.65,100,1,5.25,1.5,0,0,0.5,0.75
330,Keita Bates-Diop,5,45.32,71.42857143,0.6,5.6,4,1,1,0.2,0.8
331,Keon Ellis,3,30.13333333,50,1,4.666666667,2.666666667,1,0.333333333,1,1
332,Onuralp Bitim,3,52.8,100,1.666666667,5.666666667,0.666666667,0,0,0,0.666666667
333,Kevin Love,2,16.65,100,1,5,5.5,1.5,0.5,0.5,1.5
334,Kaiser Gates,3,36.66666667,0,1,3.666666667,0.666666667,0.666666667,0,0,0
335,Chris Livingston,3,75,66.66666667,0.333333333,5,1.333333333,0,0,0.333333333,0.333333333
336,JD Davison,3,41.66666667,100,0,3,1.333333333,3.333333333,0.333333333,0,0.333333333
337,Max Christie,6,38.15,83.33333333,1.333333333,8.5,2.833333333,1.166666667,0.666666667,0.166666667,1.5
338,Dru Smith,3,27.76666667,100,0.333333333,8,2.666666667,5.333333333,1.666666667,0.333333333,3.666666667
339,Julius Randle,3,51.1,50,2.333333333,12.66666667,7.333333333,1.333333333,0,0,1.333333333
340,Aaron Wiggins,5,49.54,66.66666667,0.4,6,4,0.4,0.4,0,0
341,Jules Bernard,2,75,0,1,3,2,0,0.5,0,1
342,Damian Lillard,2,24.1,77.77777778,1,9.5,2,3.5,2.5,0.5,0.5
343,De'Andre Hunter,1,44.4,77.77777778,1,16,3,0,0,0,0
344,Darius Garland,2,34.15,100,1.5,10.5,1,2,0.5,0.5,1.5
345,MarJon Beauchamp,4,35.925,78.57142857,1,9.25,6,2.25,0.75,0.25,2.25
346,Chris Boucher,3,47.13333333,58.33333333,0.333333333,8.666666667,5.666666667,0,1,1.333333333,1.333333333
347,Jarace Walker,3,30.56666667,60,1.666666667,10,5,2.333333333,0.666666667,1,1.666666667
348,Justin Champagnie,3,48.13333333,33.33333333,0,6.333333333,6,2,0.333333333,1,1.333333333
349,Josh Christopher,1,50,0,0,4,0,0,1,1,1
349,Josh Christopher,1,50,0,0,4,0,0,1,1,1
350,Vincent Valerio-Bodon,1,0,0,0,0,2,0,0,1,0
351,Oscar Tshiebwe,2,50,100,0,2,1,0.5,0,0,0
352,E.J. Liddell,4,41.65,50,0.5,4,3.5,1.25,0.5,0.25,0.5
353,Davion Mitchell,5,32.38,50,2,7.4,1,3.4,0.6,0.4,1.8
354,Obi Toppin,3,45.26666667,33.33333333,1,7.333333333,4.666666667,0.666666667,0.666666667,0.333333333,1
355,Jalen Pickett,5,44.66,0,0.8,4,1.2,1.8,0,0.2,0.6
356,Chase Audige,1,0,0,0,0,1,1,1,0,0
357,Donte DiVincenzo,4,38.55,100,1.5,8.5,2.75,2,0.75,0,2.5
358,Jack White,5,56.66,60,0.2,4,2.6,0.6,0.2,0.4,0.4
359,Kessler Edwards,5,24.28,75,0.6,4,3.4,0.4,0.4,0,0.6
360,Andrew Wiggins,4,48.55,53.84615385,1.5,12.75,2.25,1.25,0.5,0.5,0.75
361,Charles Bediako,1,66.7,0,0,4,1,0,0,0,0
362,Sharife Cooper,2,41.65,100,0,3.5,3,4,0,0.5,2.5
363,Chuma Okeke,3,21.66666667,0,0.666666667,2.666666667,2,1,0.666666667,0.333333333,0
364,Donovan Williams,2,37.5,0,0.5,3.5,2,0,0.5,0,1.5
365,Matt Ryan,4,27.775,0,1.5,4.5,2.75,2,0.25,0,0.5
366,Kyle Anderson,4,62.5,60,0,3.75,1.75,4.75,0.25,0.5,1.75
367,Jordan Miller,4,29.175,0,0,2,1,1,0.5,0.25,0.5
368,Malcolm Brogdon,2,35.7,75,1,7.5,3.5,1.5,0.5,0,3
369,Simone Fontecchio,5,24.96,85.71428571,1.2,5.6,2.6,1.4,0.4,0,0.8
370,Maxwell Lewis,6,43.33333333,100,1,5,0.833333333,1.5,0.166666667,0.166666667,1.666666667
371,Kevin Knox II,2,52.8,50,1,8.5,2.5,0.5,0.5,0,1.5
372,Nick Richards,4,62.5,65.51724138,0,9.75,8.25,0.5,0,0.75,1.25
373,Kris Murray,4,37.075,0,0.25,5.75,3.75,1.5,1.25,0.5,0.75
374,Mouhamadou Gueye,3,77.76666667,66.66666667,0,4.666666667,3.666666667,1,0.666666667,0.333333333,1
375,Nikola Jovic,2,16.65,75,1,5.5,3.5,1.5,0,1,1
376,Dexter Dennis,3,39.53333333,50,1,4.666666667,1.333333333,0.333333333,1,0.333333333,0
377,Cheick Diallo,2,25,100,0,2,4,1,0.5,0,1
378,Jonathan Isaac,3,20.63333333,60,0.666666667,3.666666667,1.333333333,0,1,2,0
379,Dennis Smith Jr.,2,16.65,100,0,3,0.5,1.5,1,0,0
380,Omer Yurtseven,5,69,40,0.2,3.8,4.8,0.2,0.4,0.2,0.4
381,Nick Smith Jr.,4,53.025,75,0.5,7.75,3,1,0.25,0,1.75
382,Duncan Robinson,4,35.05,72.72727273,1.5,10,2.75,3.25,0.25,0,1
383,Tre Mann,5,22.76,100,0.6,5.8,2.8,1.8,0.2,0.2,1.2
384,Moses Brown,4,40,42.85714286,0,3.75,4.25,0.25,0.5,1,1
385,Trevor Hudgins,3,40,0,1,3,0.333333333,2.333333333,0,0,0
386,Darius Days,4,58.325,50,0.75,4,2.75,0.5,1,0,0.25
387,Kenneth Lofton Jr.,4,48.025,60,0.75,10.25,3.75,2,0.75,0.5,1.75
388,Corey Kispert,3,42.83333333,50,2,9.333333333,1.666666667,2,1,0,0.666666667
389,Jordan Nwora,3,46.66666667,100,0.666666667,5.666666667,1.333333333,0.333333333,0.333333333,0.333333333,0.666666667
390,P.J. Tucker,2,0,0,0,0,3,2,1,0.5,0.5
391,Daniel Theis,1,0,100,0,2,5,0,1,2,3
392,Tyrese Martin,3,50,33.33333333,0.333333333,4.666666667,3,2,0.666666667,0.333333333,1
393,Patrick Williams,5,36.46,87.5,1.6,11,3,1.2,0.2,0.4,2.4
394,Matthew Mayer,2,50,0,0.5,1.5,1,0,0,0,0
395,Yuta Watanabe,4,51,50,1.75,10.25,2.5,0.75,0.5,0,1.25
396,Wesley Matthews,3,33.33333333,0,0.333333333,1.666666667,3,1,0,0.333333333,0.666666667
397,Dalen Terry,5,14,100,0.2,2.6,2.4,1.8,1.2,0.4,0.6
398,Adama Sanogo,2,38.75,50,0,5.5,4,0.5,1,0.5,0.5
399,Trevelin Queen,3,23.13333333,100,0.333333333,4.333333333,1.333333333,2.333333333,0.333333333,0.333333333,1.333333333
400,Amen Thompson,4,38.6,71.42857143,0.75,9.75,3.75,3,1,0.5,2.5
401,Au'Diese Toney,1,0,0,0,0,1,2,0,0,0
402,Usman Garuba,2,50,0,0,1,1.5,0,0,0.5,0
403,Terquavion Smith,3,30.53333333,0,1.333333333,4.666666667,0.333333333,0.666666667,0.666666667,0.333333333,0.333333333
404,Josh Richardson,2,21.45,0,0.5,3.5,2,1.5,1,0,1
405,Bol Bol,5,56.34,50,0.4,3.8,2.2,0.4,0,0.6,1.6
406,Donovan Mitchell,2,32.9,50,1.5,9.5,3.5,2.5,3,0.5,2
407,Julian Phillips,5,30,70,0.4,4.2,1.8,0.2,0.2,0.8,0.4
408,DeAndre Jordan,3,48.9,0,0,4,4,3.333333333,1,0,2
409,Gradey Dick,3,33.96666667,100,1,5.666666667,2.333333333,1,0.666666667,0,1.333333333
410,Keyonte George,5,34.94,77.27272727,1.4,10.4,1.4,3.6,0.6,0.4,1.6
411,Justin Powell,1,50,0,1,3,0,0,0,0,0
412,Izaiah Brockington,1,0,0,0,0,0,0,2,0,1
412,Izaiah Brockington,1,0,0,0,0,0,0,2,0,1
413,Jamorko Pickett,2,50,0,0.5,1.5,0.5,0.5,1,0,1
414,Vit Krejci,1,100,50,1,4,2,1,0,0,0
415,Dalano Banton,5,25.08,85.71428571,0.4,6.8,2.4,1.2,0.6,0.2,1
416,Tristan Thompson,3,44.43333333,50,0,2,4,1.666666667,0.333333333,0.333333333,0.666666667
417,Josh Giddey,5,48.02,52.63157895,0,12.4,5.8,5.6,0.8,0,2.8
418,Wendell Moore Jr.,5,33.22,66.66666667,0.4,4,1.8,2.4,0.6,0.2,0.6
419,Wendell Carter Jr.,3,33.93333333,66.66666667,1.666666667,9.666666667,5.666666667,2.666666667,0.333333333,0.666666667,3
420,D'Moi Hodge,6,23.88333333,100,0.833333333,4.5,1.333333333,0.166666667,1.166666667,0.166666667,0.333333333
421,Brice Sensabaugh,1,37.5,0,0,6,1,1,1,0,0
422,Alex Fudge,6,33.33333333,50,0.166666667,2,1.833333333,0.166666667,0.333333333,0.333333333,0.166666667
423,Jeremiah Robinson-Earl,3,23.6,100,0,3.333333333,3.666666667,2.333333333,0,0,0.333333333
424,Joe Wieskamp,3,33.33333333,0,0.333333333,1,0,0,0.333333333,0,0
425,Jakob Poeltl,1,50,0,0,4,5,2,1,0,4
426,Jeremy Lamb,1,50,75,1,6,0,1,0,0,0
427,Zhaire Smith,3,0,100,0,0.666666667,1.666666667,0.666666667,1,0,0
428,Luka Samanic,5,51.66,50,0.6,3.2,2.2,0.8,0.6,0.2,0.8
429,Derrick Rose,3,38.33333333,60,0.333333333,6.666666667,1.666666667,4.666666667,0,0,1.333333333
430,Jaden Ivey,4,49.45,50,1.25,13.5,4,2.75,1,0.25,4.5
431,Mikal Bridges,3,34.76666667,71.42857143,2.333333333,14,3.333333333,2,0.333333333,0,2
432,Luke Kennard,3,28.1,100,0.666666667,5,2,1.666666667,0,0.333333333,0.666666667
433,David Duke Jr.,3,16.66666667,100,0.333333333,2.333333333,1,0.666666667,0.333333333,0,0.666666667
434,Peyton Watson,5,40.02,66.66666667,0.6,7,2.8,1.4,1,0.6,1.8
435,Xavier Cooks,2,25,0,0,1,2.5,0.5,0,0,0.5
436,Jalen Duren,3,61.13333333,57.14285714,0,9.333333333,5,1,0,1.333333333,2
437,Bruno Fernando,4,63.75,66.66666667,0,5.5,4.75,1.75,0.25,1.25,4
438,Paolo Banchero,3,33.3,63.63636364,0,7.666666667,4,3,1.666666667,0.666666667,1.333333333
439,Admiral Schofield,2,25,0,0.5,2.5,3,0.5,0,0,0.5
440,Naji Marshall,3,16.66666667,83.33333333,0.333333333,4,2,1.666666667,2.333333333,0,2.333333333
441,Jalen Slawson,4,18.75,0,0,1,1.5,0.75,0.5,0.25,0.5
442,Frank Ntilikina,4,19.55,0,0.5,3,1.5,2.75,1.25,0.5,0.75
443,Chris Duarte,3,54.06666667,0,1,6.333333333,1,0.666666667,0.333333333,0,1.666666667
444,Garrett Temple,2,25,100,0,2,1,0.5,0,0.5,1
445,Nathan Mensah,4,50,75,0,2.25,1.25,0,0,0,0.25
446,Charlie Brown Jr.,3,33.33333333,0,0.333333333,1,0.333333333,0.333333333,0,0,0
447,DaQuan Jeffries,3,25,0,1,3.666666667,0.333333333,1.333333333,0,0,0.333333333
448,Jordan Walker,3,43.06666667,50,1.333333333,5.666666667,0.333333333,1.666666667,0.333333333,0,1
449,Miles Norris,3,8.333333333,0,0,0.666666667,1.333333333,1,0.666666667,0,0.333333333
450,Christian Wood,6,40.1,57.14285714,0.333333333,7.666666667,5.166666667,0.666666667,0.666666667,0.333333333,1.333333333
451,Taylor Hendricks,5,31.1,80,0.6,3.8,2.6,0.2,0.6,0,1
452,Sidy Cissoko,4,0,0,0,0,1,1,0,0.5,0.25
453,Jett Howard,3,29.16666667,0,1.333333333,5.333333333,1,0.333333333,0,0.333333333,0
454,Alperen Sengun,4,28.55,60,0.25,8.75,5.75,3.5,1.75,1.5,1.75
455,Maxi Kleber,3,44.43333333,0,0,1.333333333,3,0,0,0,0.333333333
456,Henri Drell,1,0,0,0,0,0,1,0,0,0
457,Keldon Johnson,2,32.05,60,1,7.5,4,3,1.5,0.5,2.5
458,Dillon Brooks,3,21.66666667,85.71428571,1,5.666666667,1.666666667,1.666666667,0.333333333,0,2
459,Jared Rhoden,3,16.66666667,0,0,0.666666667,2.666666667,0.333333333,0,0,0.333333333
460,Blake Wesley,4,40.725,42.85714286,0.5,5.25,2.25,3.5,0.5,1,1.25
461,Omari Moore,1,0,0,0,0,1,0,0,0,0
461,Brandon Boston Jr.,1,0,0,0,0,1,0,0,0,0
463,Julian Champagnie,4,26.35,70,0.75,5.5,4.25,1.5,0.25,0.75,0.5
464,Pete Nance,2,0,100,0,1,1,0,0,0.5,1
465,Klay Thompson,4,29.85,75,1.75,8.75,4.25,1.5,0,0.25,1.5
466,Caleb Houstan,1,25,0,1,3,1,1,0,0,0
467,Markquis Nowell,2,25,0,0,2,1,2.5,0.5,0.5,2
468,Keon Johnson,5,36.44,100,0.4,4.6,1,1,0.8,0.2,1.6
469,Bryce McGowens,2,20,100,0,3,1,1,0,0.5,1.5
470,Ricky Council IV,3,41.66666667,66.66666667,0,3.333333333,1.666666667,0.333333333,0.666666667,0,0
471,Shaquille Harrison,3,0,50,0,0.666666667,3,0.333333333,1,0.666666667,0.666666667
472,Josh Green,3,41.1,57.14285714,1,7,3,2,0.333333333,0,1.333333333
473,Khem Birch,1,0,0,0,0,4,2,0,1,2
474,Nate Hinton,3,22.23333333,100,0.333333333,2,2.333333333,0.333333333,0,0.333333333,0.333333333
475,A.J. Lawson,3,32.2,50,0.666666667,5,3.666666667,0,1,0.333333333,0
476,Jordan Hawkins,4,29.625,66.66666667,2.5,10.5,2,1.25,0.25,0.25,1.5
477,Trevor Keels,3,9.533333333,100,0.333333333,2.333333333,0.666666667,1.666666667,0.666666667,0,1
478,Richaun Holmes,3,33.33333333,0,0,0.666666667,2.666666667,0,0.333333333,0.333333333,0.333333333
479,Doug McDermott,3,29.36666667,0,1,5,1,1,0,0,1
480,Amida Brimah,2,50,50,0,3,1,0,0.5,0.5,0.5
481,Kenyon Martin Jr.,4,50,50,0.25,6.5,4.5,1.25,0.25,0,1.75
482,Jaylen Nowell,2,16.65,100,0.5,2.5,0.5,0.5,0,0,0
483,Mike Miles Jr.,0,0,0,0,0,0,0,0,0,0
483,Jaylen Clark,0,0,0,0,0,0,0,0,0,0
483,Draymond Green,0,0,0,0,0,0,0,0,0,0
483,Rodney McGruder,0,0,0,0,0,0,0,0,0,0
483,Lonzo Ball,0,0,0,0,0,0,0,0,0,0
483,Khris Middleton,0,0,0,0,0,0,0,0,0,0
483,Damion Lee,0,0,0,0,0,0,0,0,0,0
483,Ish Wainright,0,0,0,0,0,0,0,0,0,0
483,Tosan Evbuomwan,4,0,0,0,0,0,0,0,0,0
483,Bojan Bogdanovic,0,0,0,0,0,0,0,0,0,0
483,Isaiah Livers,0,0,0,0,0,0,0,0,0,0
483,Joel Embiid,0,0,0,0,0,0,0,0,0,0
483,James Harden,0,0,0,0,0,0,0,0,0,0
483,Montrezl Harrell,0,0,0,0,0,0,0,0,0,0
483,Furkan Korkmaz,0,0,0,0,0,0,0,0,0,0
483,Azuolas Tubelis,0,0,0,0,0,0,0,0,0,0
483,Jay Scrubb,0,0,0,0,0,0,0,0,0,0
483,Andrew Nembhard,0,0,0,0,0,0,0,0,0,0
483,Brandon Clarke,0,0,0,0,0,0,0,0,0,0
483,Ja Morant,0,0,0,0,0,0,0,0,0,0
483,Joey Hauser,0,0,0,0,0,0,0,0,0,0
483,Taevion Kinsey,0,0,0,0,0,0,0,0,0,0
483,Nick Ongenda,0,0,0,0,0,0,0,0,0,0
483,Marcus Morris Sr.,0,0,0,0,0,0,0,0,0,0
483,Joshua Primo,0,0,0,0,0,0,0,0,0,0
483,Brodric Thomas,0,0,0,0,0,0,0,0,0,0
483,Jaylen Martin,1,0,0,0,0,0,0,0,0,0
483,Duane Washington Jr.,0,0,0,0,0,0,0,0,0,0
483,Cameron Johnson,0,0,0,0,0,0,0,0,0,0
483,Dariq Whitehead,0,0,0,0,0,0,0,0,0,0
483,Leaky Black,0,0,0,0,0,0,0,0,0,0
483,James Bouknight,0,0,0,0,0,0,0,0,0,0
483,Theo Maledon,0,0,0,0,0,0,0,0,0,0
483,Cody Martin,0,0,0,0,0,0,0,0,0,0
483,Jimmy Butler,0,0,0,0,0,0,0,0,0,0
483,Marcus Smart,0,0,0,0,0,0,0,0,0,0
483,Kevon Harris,0,0,0,0,0,0,0,0,0,0
483,Jose Alvarado,0,0,0,0,0,0,0,0,0,0
483,Trey Murphy III,0,0,0,0,0,0,0,0,0,0
483,Larry Nance Jr.,0,0,0,0,0,0,0,0,0,0
483,Liam Robbins,0,0,0,0,0,0,0,0,0,0
483,Cody Zeller,0,0,0,0,0,0,0,0,0,0
483,Nate Darling,0,0,0,0,0,0,0,0,0,0
483,Souley Boum,0,0,0,0,0,0,0,0,0,0
483,Vlatko Cancar,0,0,0,0,0,0,0,0,0,0
483,Armaan Franklin,1,0,0,0,0,0,0,0,0,0
483,Ibou Badji,0,0,0,0,0,0,0,0,0,0
483,John Butler Jr.,0,0,0,0,0,0,0,0,0,0
483,Robert Williams III,0,0,0,0,0,0,0,0,0,0
483,Chance Comanche,0,0,0,0,0,0,0,0,0,0
483,Michael Foster Jr.,0,0,0,0,0,0,0,0,0,0
483,Jarrett Allen,0,0,0,0,0,0,0,0,0,0
483,Ricky Rubio,0,0,0,0,0,0,0,0,0,0
483,Monte Morris,0,0,0,0,0,0,0,0,0,0
483,Jontay Porter,0,0,0,0,0,0,0,0,0,0
483,Kevin Porter Jr.,0,0,0,0,0,0,0,0,0,0
483,Grant Golden,0,0,0,0,0,0,0,0,0,0
540,Isaiah Wong,3,16.66666667,100,0,1.333333333,0.666666667,1.333333333,0,0,0.666666667
541,Danuel House Jr.,1,0,0,0,0,5,1,1,0,1
542,Buddy Boeheim,2,0,0,0,0,1,1,0,0,0
543,Kendall Brown,2,25,0,0,2,2,1,0,0.5,1.5
544,R.J. Hampton,1,0,0,0,0,3,3,0,0,2
545,Isaiah Jackson,3,33.3,75,0,4,3.333333333,0.666666667,0,0.666666667,1.666666667
546,Matt Hurt,2,12.5,0,0.5,1.5,1.5,0.5,1,0,1
547,Seth Curry,2,22.75,66.66666667,0.5,6.5,1,0.5,0,0,0
548,Jerome Robinson,3,39.4,71.42857143,0.333333333,6,2.666666667,1.666666667,0.333333333,0,0.666666667
549,Zavier Simpson,1,33.3,0,0,2,2,1,0,0,1
550,GG Jackson,3,17.2,66.66666667,1.333333333,8.666666667,1.666666667,0.333333333,0,0.666666667,0.666666667
551,Marques Bolden,3,33.33333333,75,0,1.666666667,3.666666667,0,0.333333333,0.666666667,1.333333333
552,Deonte Burton,1,0,0,0,0,0,1,1,0,0
553,Jordan Walsh,3,21.66666667,50,0,2.333333333,3.333333333,0.333333333,1,0,0.666666667
554,Amir Coffey,4,12.95,78.57142857,0.5,5.25,1.75,1.75,0.25,0.5,0.5
555,Robin Lopez,4,18.75,66.66666667,0,2.5,1.5,1.5,0.25,1.25,1.75
556,Bryson Williams,2,66.65,50,0,3.5,0.5,0,0,0.5,0
557,Buddy Hield,3,25,60,1.333333333,7,3.333333333,5.333333333,0.333333333,0,1.666666667
558,Rudy Gay,2,25,0,0,2,3.5,0.5,0.5,0,0.5
559,Cameron Payne,3,17.7,75,0.666666667,6,1.666666667,5,0.666666667,0,1.333333333
560,Malcolm Cazalon,1,0,0,0,0,1,0,0,0,1
561,Nathan Knight,2,50,50,0,2,0.5,0.5,0,0.5,0
562,Kobe Bufkin,4,30.4,50,1,8.25,3.5,2,0.25,0,1.25
563,Sam Merrill,3,14.06666667,0,1,3,1.666666667,1.333333333,0.333333333,0,0.666666667
564,Landers Nolley II,1,33.3,0,0,2,0,0,0,0,0
565,Reggie Bullock,2,12.5,0,0.5,1.5,0.5,0.5,0.5,0,0.5
566,Kevin Huerter,5,31.26,66.66666667,1,6.6,2.2,1.4,0.2,0,1.4
567,Wenyen Gabriel,3,44.43333333,33.33333333,0,2.333333333,2.666666667,0.333333333,0.333333333,0.333333333,0.666666667
568,Jarred Vanderbilt,1,50,0,2,6,7,1,1,0,2
569,Dereon Seabron,4,38.225,40,0,6,2.5,1.75,0.5,0,0.75
570,DJ Steward,3,25,0,0.333333333,1.666666667,0.666666667,0,0,0,0.666666667
571,D.J. Wilson,2,0,0,0,0,1.5,1,0,0,0.5
572,Carlik Jones,4,14.575,50,0.25,2,1.25,2,0.5,0,0.5
573,Ron Harper Jr.,1,0,75,0,3,0,1,0,1,0
574,Drew Timme,2,25,50,0,1.5,1,0.5,0,0,0
575,Jalen Wilson,4,18.75,62.5,0.25,3,0.5,0.5,0,0,0.25
576,Edmond Sumner,4,17.15,100,0.25,3,2.5,1.75,0.5,0.25,1.75
577,Greg Brown III,2,20,0,0,2,3.5,0,0,1,0.5
578,Rayan Rupert,4,29.175,50,0.25,3.25,2.25,1,0.25,0,1.25
579,Vasilije Micic,5,26.72,50,0.4,6,2.6,6,0.8,0,2.4
580,Jaden Hardy,3,38.73333333,58.33333333,1.666666667,14.66666667,3.333333333,2.333333333,1,0,3
581,Patty Mills,4,5,0,0.25,0.75,0.75,1,0.5,0,0.75
582,Max Heidegger,1,0,100,0,1,0,0,0,0,0
583,Lindell Wigginton,3,4.766666667,60,0,1.666666667,2.333333333,2.666666667,1.333333333,0.666666667,2.333333333
584,RJ Hunter,3,4.766666667,0,0.333333333,1,1.666666667,0,0.333333333,0,0
585,Jeff Green,2,37.5,33.33333333,0,2.5,2,2,0,0.5,0.5
586,Damion Baugh,1,0,0,0,0,1,0,0,0,0
587,Cam Reddish,3,20.46666667,50,0.666666667,4.333333333,3.333333333,0.666666667,1,0.333333333,2.666666667
588,Keyontae Johnson,5,24,40,0.2,3.4,1,0.4,0.4,0.2,0.2
589,Ryan Arcidiacono,1,0,0,0,0,4,1,0,0,0
590,Jalen Green,2,49.4,55.55555556,0,11.5,2.5,2,1,0,2
591,Brandon Williams,2,20,0,1,3,1,0,1,0,0.5
592,Mychal Mulder,2,12.5,0,0.5,1.5,1,0,0,0,0.5
593,Drew Peterson,1,20,0,0,2,5,1,0,0,2
594,Markieff Morris,1,33.3,0,1,3,1,2,1,1,0
595,Dylan Windler,1,0,0,0,0,0,0,0,0,0
596,Oshae Brissett,5,18.58,57.14285714,0.2,4.2,4.4,0.8,0,0,1
597,Devonte' Graham,3,37.3,50,1.333333333,5.333333333,2.333333333,0.333333333,0.333333333,0,1.333333333
598,Jalen Hood-Schifino,4,14.825,50,0.25,3.5,3.75,4,0.75,0.5,2
599,Malcolm Hill,2,16.65,66.66666667,0.5,3.5,0.5,0.5,0,0,0.5
600,Kyrie Irving,1,16.7,0,0,2,1,2,0,1,2
601,Anthony Black,3,20,25,0,2.333333333,2.333333333,0.666666667,0.666666667,0.333333333,1
602,Mo Bamba,3,11.1,0,0.333333333,2.333333333,3.333333333,0.333333333,0.333333333,0,0.666666667
603,Amari Bailey,3,0,50,0,0.666666667,0,0,0,0,0.666666667
604,Norman Powell,3,19.8,80,0.333333333,7,1,1,0.333333333,0,1.666666667
605,Tevian Jones,1,0,0,0,0,0,0,0,0,1
606,Jazian Gortman,1,0,0,0,0,0,1,0,0,2
607,Justin Lewis,2,41.65,0,0,2,1.5,0,0,0,0
608,Olivier-Maxence Prosper,3,20,50,0,3.666666667,2.666666667,0.333333333,0,0,0.666666667
609,Scotty Pippen Jr.,2,11.1,44.44444444,0.5,4.5,2.5,3.5,1.5,0,2
610,Romeo Langford,1,66.7,0,0,4,0,2,0,0,2
