"player_id","Name","PlayerFirstName","PlayerSurname","Team","Number","Position","Price","PriceChg","TotalPriceChg","PricedAt","Breakeven","LastScore","Played","Last3Avg","Last5Avg","SeasonAvg","Games","SeasonScore","StateAvg","LastSeason","LastSeasonGames","LastSeasonHigh","2022B","LiveScore","Playing","season_num","RoundID","score_column","PlayerIcon","OppTeam","StartPrice","StartPriceChg","MatchStatus","Kick","Handball","Marks","Tackles","Hitouts","FreeFor","FreeAgainst","Goals","Behinds","TimeOnGround"
"CD_I1005258","Eloise Jones","Eloise","Jones","ADL",2,"Midfielder",71500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,9,"NONE",0,"NTH",71500,0,0,0,0,0,0,0,0,0,0,0,0
"CD_I1005258","Eloise Jones","Eloise","Jones","ADL",2,"Midfielder",71500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,10,"NONE",0,"WCE",71500,0,0,0,0,0,0,0,0,0,0,0,0
"CD_I1011115","Amber Ward","Amber","Ward","ADL",3,"Defender",42600,0,0,25.1921939680662,25.9713339876971,0,0,0,0,0,0,0,16.6666666666667,18.5,4,28,26.8,0,0,8,0,"LAST",0,"-",42600,0,0,0,0,0,0,0,0,0,0,0,0
"CD_I1011115","Amber Ward","Amber","Ward","ADL",3,"Defender",42600,0,0,29.5141159153229,29.6624280556009,0,0,0,0,0,0,0,16.6666666666667,18.5,4,28,26.8,0,0,8,1,"LAST",0,"PTA",42600,0,0,0,0,0,0,0,0,0,0,0,0
"CD_I1011115","Amber Ward","Amber","Ward","ADL",3,"Defender",42600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2,"NONE",0,"RIC",42600,0,0,0,0,0,0,0,0,0,0,0,0
"CD_I1011115","Amber Ward","Amber","Ward","ADL",3,"Defender",42600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,"NONE",0,"ESS",42600,0,0,0,0,0,0,0,0,0,0,0,0
"CD_I1011115","Amber Ward","Amber","Ward","ADL",3,"Defender",42600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4,"NONE",0,"GWS",42600,0,0,0,0,0,0,0,0,0,0,0,0
"CD_I1011115","Amber Ward","Amber","Ward","ADL",3,"Defender",42600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,5,"NONE",0,"GCS",42600,0,0,0,0,0,0,0,0,0,0,0,0
"CD_I1011115","Amber Ward","Amber","Ward","ADL",3,"Defender",42600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,6,"NONE",0,"MEL",42600,0,0,0,0,0,0,0,0,0,0,0,0
"CD_I1011115","Amber Ward","Amber","Ward","ADL",3,"Defender",42600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,7,"NONE",0,"WBD",42600,0,0,0,0,0,0,0,0,0,0,0,0
"CD_I1011115","Amber Ward","Amber","Ward","ADL",3,"Defender",42600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,"NONE",0,"BRL",42600,0,0,0,0,0,0,0,0,0,0,0,0
"CD_I1011115","Amber Ward","Amber","Ward","ADL",3,"Defender",42600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,9,"NONE",0,"NTH",42600,0,0,0,0,0,0,0,0,0,0,0,0
