"Name","PlayerFirstName","PlayerSurname","Team","Number","Position","Price","PriceChg","TotalPriceChg","PricedAt","Breakeven","LastScore","Played","Last3Avg","Last5Avg","SeasonAvg","Games","SeasonScore","StateAvg","LastSeason","LastSeasonGames","LastSeasonHigh","2022B","LiveScore","Playing","player_id","season_num","RoundID","score_column","PlayerIcon","OppTeam","StartPrice","StartPriceChg","MatchStatus","Kick","Handball","Marks","Tackles","Hitouts","FreeFor","FreeAgainst","Goals","Behinds","TimeOnGround"
"Caitlin Gould","Caitlin","Gould","ADL",1,"Ruck",113600,0,0,67.1791839148433,67.1791839148433,0,0,0,0,0,0,0,0,67.2,10,83,54.2222222222222,0,-2,"CD_I1014599",8,0,"LAST",0,"-",113600,0,0,0,0,0,0,0,0,0,0,0,0
"Caitlin Gould","Caitlin","Gould","ADL",1,"Ruck",113600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"CD_I1014599",8,1,"NONE",0,"PTA",113600,0,0,0,0,0,0,0,0,0,0,0,0
"Caitlin Gould","Caitlin","Gould","ADL",1,"Ruck",113600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"CD_I1014599",8,2,"NONE",0,"RIC",113600,0,0,0,0,0,0,0,0,0,0,0,0
"Caitlin Gould","Caitlin","Gould","ADL",1,"Ruck",113600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"CD_I1014599",8,3,"NONE",0,"ESS",113600,0,0,0,0,0,0,0,0,0,0,0,0
"Caitlin Gould","Caitlin","Gould","ADL",1,"Ruck",113600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"CD_I1014599",8,4,"NONE",0,"GWS",113600,0,0,0,0,0,0,0,0,0,0,0,0
"Caitlin Gould","Caitlin","Gould","ADL",1,"Ruck",113600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"CD_I1014599",8,5,"NONE",0,"GCS",113600,0,0,0,0,0,0,0,0,0,0,0,0
"Caitlin Gould","Caitlin","Gould","ADL",1,"Ruck",113600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"CD_I1014599",8,6,"NONE",0,"MEL",113600,0,0,0,0,0,0,0,0,0,0,0,0
"Caitlin Gould","Caitlin","Gould","ADL",1,"Ruck",113600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"CD_I1014599",8,7,"NONE",0,"WBD",113600,0,0,0,0,0,0,0,0,0,0,0,0
"Caitlin Gould","Caitlin","Gould","ADL",1,"Ruck",113600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"CD_I1014599",8,8,"NONE",0,"BRL",113600,0,0,0,0,0,0,0,0,0,0,0,0
"Caitlin Gould","Caitlin","Gould","ADL",1,"Ruck",113600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"CD_I1014599",8,9,"NONE",0,"NTH",113600,0,0,0,0,0,0,0,0,0,0,0,0
