Player ID,Name,Price,Season,25,50,75,100
CD_I1022236,Jessica Good,102100,-3000,-9900,-6100,-2300,1500
CD_I1022744,Madeline Hendrie,35500,-2200,-2100,1700,5500,9200
CD_I1025564,Mia Austin,64900,400,-2600,1200,5000,8700
CD_I1025995,Lily Goss,85100,2500,-2600,1200,5000,8700
CD_I1029627,Taylor Ortlepp,36200,2500,2500,6300,10100,13900
CD_I1033158,Dayna Finn,32300,300,800,4500,8300,12100
CD_I1033159,Erone Fitzpatrick,65300,900,-2100,1700,5500,9300
CD_I296137,Jessica Dal Pos,62900,-3200,-6000,-2200,1600,5300
CD_I997663,Darcy Vescio,61200,-3500,-6100,-2300,1500,5300
CD_I997689,Phoebe McWilliams,55500,-2500,-4500,-700,3000,6800
CD_I1003019,Sabrina Frederick,118200,3800,-4800,-1000,2800,6600
CD_I1003020,Brianna Davey,127300,-2100,-11600,-7800,-4000,-200
CD_I1005663,Erica Fowler,46600,700,-400,3400,7200,11000
CD_I1006996,Lauren Brazzale,55400,-1300,-3300,500,4200,8000
CD_I1007015,Stacey Livingstone,49500,1100,-300,3500,7300,11000
CD_I1007027,Ruby Schleicher,102000,-4900,-11700,-7900,-4100,-400
CD_I1007139,Sophie Casey,35300,-1800,-1700,2100,5900,9700
CD_I1009831,Tarni White,79000,-900,-5400,-1600,2200,6000
CD_I1010096,Lauren Butler,64500,-4400,-7300,-3500,200,4000
CD_I1010102,Nell Morris-Dalton,56600,6000,3900,7600,11400,15200
CD_I1010663,Ashleigh Brazill,49500,-2700,-4100,-300,3400,7200
CD_I1012637,Mikala Cann,109100,900,-6700,-2900,900,4700
CD_I1012716,Selena Karlson,40200,1000,600,4400,8200,12000
CD_I1013513,Sarah Sansonetti,67600,-1100,-4400,-600,3200,6900
CD_I1013706,Sarah Rowe,101900,400,-6400,-2600,1100,4900
CD_I1014873,Tarni Brown,62100,-2200,-4800,-1100,2700,6500
CD_I1015018,Olivia Barber,49800,0,-1400,2400,6200,9900
CD_I1015053,Alana Porter,49800,1500,100,3900,7700,11500
CD_I1015064,Joanna Lin,41900,-2700,-3300,500,4300,8100
CD_I1015070,Eliza James,50700,-1600,-3100,700,4500,8300
CD_I1017029,Grace Campbell,79000,500,-4000,-200,3600,7400
CD_I1017238,Aishling Sheridan,73600,600,-3300,500,4300,8000
CD_I1019680,Charlotte Blair,28700,0,800,4600,8400,12100
CD_I1019817,Charlotte Taylor,37100,1900,1800,5600,9400,13100
CD_I1021457,Imogen Evans,62900,-2300,-5100,-1300,2500,6200
CD_I1022112,Imogen Barnett,68400,-1500,-4800,-1000,2800,6500
CD_I1031865,Eleri Morris,36300,900,900,4700,8500,12300
CD_I997676,Emily Smith,29600,-200,500,4300,8100,11900
CD_I997729,Brittany Bonnici,122800,-4500,-13500,-9700,-5900,-2100
CD_I997736,Jordyn Allen,77000,-1500,-5800,-2000,1800,5600
CD_I1001682,Ebony Antonio,65100,-3600,-6600,-2800,900,4700
CD_I1005437,Laura Pugh,66200,-100,-3200,500,4300,8100
CD_I1007144,Gabby O'Sullivan,57100,1500,-700,3100,6900,10700
CD_I1009783,Nikki Nield,87700,0,-5400,-1600,2200,6000
CD_I1009907,Roxanne Roux,45300,-1500,-2400,1400,5200,8900
CD_I1012234,Mikayla Hyde,65700,600,-2400,1400,5100,8900
CD_I1012236,Sarah Verrier,68400,4100,800,4600,8300,12100
CD_I1012242,Emma O'Driscoll,94200,-1600,-7700,-3900,-100,3700
CD_I1012248,Philipa Seth,53700,-400,-2200,1600,5400,9200
CD_I1012261,Tara Stribley,36400,0,0,3800,7600,11300
CD_I1012662,Airlie Runnalls,78900,-2400,-6900,-3100,700,4500
CD_I1013937,Angelique Stannett,100900,3000,-3800,0,3800,7600
CD_I1014887,Serena Gibbs,31100,1400,1900,5700,9500,13300
CD_I1017340,Mikayla Morrison,48800,0,-1300,2500,6300,10000
CD_I1017347,Mim Strom,110300,-1500,-9200,-5400,-1600,2200
CD_I1018949,Aine Tighe,98200,-600,-7000,-3200,600,4300
CD_I1021399,Jessica Low,54100,2100,300,4100,7800,11600
CD_I1021405,Sarah Wielstra,39200,300,0,3800,7600,11400
CD_I1021410,Dana East,74100,2700,-1300,2500,6300,10100
CD_I1022824,Makaela Tuhakaraina,41600,-800,-1400,2400,6200,10000
CD_I1026166,Madeleine Scanlon,57800,-200,-2400,1400,5200,8900
CD_I1026218,Emmelie Fiedler,43100,0,-700,3100,6900,10600
CD_I1026222,Jae Flynn,47600,-2700,-3900,-100,3700,7400
CD_I1026294,Ariana Hetherington,33200,-1600,-1300,2500,6300,10100
CD_I1026444,Amy Mulholland,50700,1400,-100,3700,7500,11300
CD_I1029621,Megan Kauffman,86400,4000,-1200,2500,6300,10100
CD_I1029623,Orlagh Lally,70400,4400,900,4700,8400,12200
CD_I1031243,Tahleah Mulder,56500,1700,-400,3400,7200,11000
CD_I1031247,Joanne Cregg,51300,0,-1500,2200,6000,9800
