"Name","PlayerFirstName","PlayerSurname","Team","Number","Position","Price","PriceChg","TotalPriceChg","PricedAt","Breakeven","LastScore","Played","Last3Avg","Last5Avg","SeasonAvg","Games","SeasonScore","StateAvg","LastSeason","LastSeasonGames","LastSeasonHigh","2022B","LiveScore","Playing","player_id","season_num","RoundID","score_column","PlayerIcon","OppTeam","StartPrice","StartPriceChg","MatchStatus","Kick","Handball","Marks","Tackles","Hitouts","FreeFor","FreeAgainst","Goals","Behinds","TimeOnGround"
"Amber Ward","Amber","Ward","ADL",3,"Defender",45300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"CD_I1011115",7,1,"NONE",0,"MEL",45300,0,0,0,0,0,0,0,0,0,0,0,0
"Amber Ward","Amber","Ward","ADL",3,"Defender",45300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"CD_I1011115",7,2,"NONE",0,"RIC",45300,0,0,0,0,0,0,0,0,0,0,0,0
"Amber Ward","Amber","Ward","ADL",3,"Defender",45300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"CD_I1011115",7,3,"NONE",0,"NTH",45300,0,0,0,0,0,0,0,0,0,0,0,0
"Amber Ward","Amber","Ward","ADL",3,"Defender",45300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"CD_I1011115",7,4,"NONE",0,"COL",45300,0,0,0,0,0,0,0,0,0,0,0,0
"Amber Ward","Amber","Ward","ADL",3,"Defender",45300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"CD_I1011115",7,5,"NONE",0,"GWS",45300,0,0,0,0,0,0,0,0,0,0,0,0
"Amber Ward","Amber","Ward","ADL",3,"Defender",45300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"CD_I1011115",7,6,"NONE",0,"PTA",45300,0,0,0,0,0,0,0,0,0,0,0,0
"Amber Ward","Amber","Ward","ADL",3,"Defender",45300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"CD_I1011115",7,7,"NONE",0,"FRE",45300,0,0,0,0,0,0,0,0,0,0,0,0
"Amber Ward","Amber","Ward","ADL",3,"Defender",45300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"CD_I1011115",7,8,"NONE",0,"BRL",45300,0,0,0,0,0,0,0,0,0,0,0,0
"Amber Ward","Amber","Ward","ADL",3,"Defender",45300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"CD_I1011115",7,9,"NONE",0,"GEE",45300,0,0,0,0,0,0,0,0,0,0,0,0
"Amber Ward","Amber","Ward","ADL",3,"Defender",45300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"CD_I1011115",7,10,"NONE",0,"STK",45300,0,0,0,0,0,0,0,0,0,0,0,0
"Zoe Prowse","Zoe","Prowse","ADL",4,"Ruck",39800,0,0,23.5363690124187,23.5363690124187,0,0,0,0,0,0,0,86.4444444444444,31,1,31,0,0,0,"CD_I1014663",7,0,"LAST",0,"-",39800,0,0,0,0,0,0,0,0,0,0,0,0
"Zoe Prowse","Zoe","Prowse","ADL",4,"Ruck",39800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"CD_I1014663",7,1,"NONE",0,"MEL",39800,0,0,0,0,0,0,0,0,0,0,0,0
"Zoe Prowse","Zoe","Prowse","ADL",4,"Ruck",39800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"CD_I1014663",7,2,"NONE",0,"RIC",39800,0,0,0,0,0,0,0,0,0,0,0,0
"Zoe Prowse","Zoe","Prowse","ADL",4,"Ruck",39800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"CD_I1014663",7,3,"NONE",0,"NTH",39800,0,0,0,0,0,0,0,0,0,0,0,0
"Zoe Prowse","Zoe","Prowse","ADL",4,"Ruck",39800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"CD_I1014663",7,4,"NONE",0,"COL",39800,0,0,0,0,0,0,0,0,0,0,0,0
"Zoe Prowse","Zoe","Prowse","ADL",4,"Ruck",39800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"CD_I1014663",7,5,"NONE",0,"GWS",39800,0,0,0,0,0,0,0,0,0,0,0,0
"Zoe Prowse","Zoe","Prowse","ADL",4,"Ruck",39800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"CD_I1014663",7,6,"NONE",0,"PTA",39800,0,0,0,0,0,0,0,0,0,0,0,0
"Zoe Prowse","Zoe","Prowse","ADL",4,"Ruck",39800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"CD_I1014663",7,7,"NONE",0,"FRE",39800,0,0,0,0,0,0,0,0,0,0,0,0
"Zoe Prowse","Zoe","Prowse","ADL",4,"Ruck",39800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"CD_I1014663",7,8,"NONE",0,"BRL",39800,0,0,0,0,0,0,0,0,0,0,0,0
