"member_id","round_id","teamValue","inTotal","outTotal","tradesTotal","CumTrades","remaining","cashcheck"
72268,1,1370600,1370600,0,-1370600,-1370600,17800,17800
72271,1,1384400,1384400,0,-1384400,-1384400,4000,4000
72273,1,1387400,1387400,0,-1387400,-1387400,1000,1000
72274,1,1380200,1380200,0,-1380200,-1380200,8200,8200
72275,1,1386600,1386600,0,-1386600,-1386600,1800,1800
72277,1,1384800,1384800,0,-1384800,-1384800,3600,3600
72280,1,1382600,1382600,0,-1382600,-1382600,5800,5800
72283,1,1387100,1387100,0,-1387100,-1387100,1300,1300
72291,1,1388100,1388100,0,-1388100,-1388100,300,300
72292,1,1336400,1336400,0,-1336400,-1336400,52000,52000
72300,1,1369500,1369500,0,-1369500,-1369500,18900,18900
72301,1,1375700,1375700,0,-1375700,-1375700,12700,12700
72302,1,1355500,1355500,0,-1355500,-1355500,32900,32900
72311,1,1236700,1236700,0,-1236700,-1236700,151700,151700
72315,1,1387200,1387200,0,-1387200,-1387200,1200,1200
72323,1,1382700,1382700,0,-1382700,-1382700,5700,5700
72325,1,1378600,1378600,0,-1378600,-1378600,9800,9800
72327,1,1387300,1387300,0,-1387300,-1387300,1100,1100
72329,1,1382700,1382700,0,-1382700,-1382700,5700,5700
72331,1,1384300,1384300,0,-1384300,-1384300,4100,4100
72335,1,1351600,1351600,0,-1351600,-1351600,36800,36800
72336,1,1385500,1385500,0,-1385500,-1385500,2900,2900
72337,1,1377900,1377900,0,-1377900,-1377900,10500,10500
72338,1,1385400,1385400,0,-1385400,-1385400,3000,3000
72340,1,1388200,1388200,0,-1388200,-1388200,200,200
72341,1,1381400,1381400,0,-1381400,-1381400,7000,7000
72363,1,1370900,1370900,0,-1370900,-1370900,17500,17500
72364,1,1369900,1369900,0,-1369900,-1369900,18500,18500
72371,1,1383200,1383200,0,-1383200,-1383200,5200,5200
72372,1,1387000,1387000,0,-1387000,-1387000,1400,1400
72389,1,1385300,1385300,0,-1385300,-1385300,3100,3100
72391,1,1354500,1354500,0,-1354500,-1354500,33900,33900
72393,1,1385600,1385600,0,-1385600,-1385600,2800,2800
72401,1,1382900,1382900,0,-1382900,-1382900,5500,5500
72402,1,1387200,1387200,0,-1387200,-1387200,1200,1200
72405,1,1386100,1386100,0,-1386100,-1386100,2300,2300
72408,1,1386000,1386000,0,-1386000,-1386000,2400,2400
72411,1,1381900,1381900,0,-1381900,-1381900,6500,6500
72413,1,1370900,1370900,0,-1370900,-1370900,17500,17500
72414,1,1388000,1388000,0,-1388000,-1388000,400,400
72416,1,1380100,1380100,0,-1380100,-1380100,8300,8300
72420,1,1380100,1380100,0,-1380100,-1380100,8300,8300
72423,1,1385400,1385400,0,-1385400,-1385400,3000,3000
72427,1,1387600,1387600,0,-1387600,-1387600,800,800
72432,1,1387200,1387200,0,-1387200,-1387200,1200,1200
72433,1,1383700,1383700,0,-1383700,-1383700,4700,4700
72438,1,1361100,1361100,0,-1361100,-1361100,27300,27300
72440,1,1387600,1387600,0,-1387600,-1387600,800,800
72441,1,1378400,1378400,0,-1378400,-1378400,10000,10000
72444,1,1383700,1383700,0,-1383700,-1383700,4700,4700
72451,1,1367900,1367900,0,-1367900,-1367900,20500,20500
72452,1,1388400,1388400,0,-1388400,-1388400,0,0
72459,1,1384500,1384500,0,-1384500,-1384500,3900,3900
72460,1,1387500,1387500,0,-1387500,-1387500,900,900
72465,1,1382000,1382000,0,-1382000,-1382000,6400,6400
72467,1,1375100,1375100,0,-1375100,-1375100,13300,13300
72468,1,1384900,1384900,0,-1384900,-1384900,3500,3500
72472,1,1195800,1195800,0,-1195800,-1195800,192600,192600
72474,1,1382100,1382100,0,-1382100,-1382100,6300,6300
72479,1,1387600,1387600,0,-1387600,-1387600,800,800
72480,1,1383900,1383900,0,-1383900,-1383900,4500,4500
72490,1,1388400,1388400,0,-1388400,-1388400,0,0
72491,1,1363200,1363200,0,-1363200,-1363200,25200,25200
72492,1,1315600,1315600,0,-1315600,-1315600,72800,72800
72502,1,1387900,1387900,0,-1387900,-1387900,500,500
72505,1,1387100,1387100,0,-1387100,-1387100,1300,1300
72506,1,1386600,1386600,0,-1386600,-1386600,1800,1800
72512,1,1388400,1388400,0,-1388400,-1388400,0,0
72513,1,1388400,1388400,0,-1388400,-1388400,0,0
72514,1,1386400,1386400,0,-1386400,-1386400,2000,2000
72519,1,1371000,1371000,0,-1371000,-1371000,17400,17400
72524,1,1386300,1386300,0,-1386300,-1386300,2100,2100
72531,1,1380300,1380300,0,-1380300,-1380300,8100,8100
72533,1,1387600,1387600,0,-1387600,-1387600,800,800
72534,1,1383700,1383700,0,-1383700,-1383700,4700,4700
72537,1,1388000,1388000,0,-1388000,-1388000,400,400
72538,1,1385600,1385600,0,-1385600,-1385600,2800,2800
72539,1,1369800,1369800,0,-1369800,-1369800,18600,18600
72540,1,1352800,1352800,0,-1352800,-1352800,35600,35600
72541,1,1370800,1370800,0,-1370800,-1370800,17600,17600
72545,1,1360200,1360200,0,-1360200,-1360200,28200,28200
72548,1,1381600,1381600,0,-1381600,-1381600,6800,6800
72549,1,1382600,1382600,0,-1382600,-1382600,5800,5800
72552,1,1381000,1381000,0,-1381000,-1381000,7400,7400
72553,1,1388000,1388000,0,-1388000,-1388000,400,400
72556,1,1381100,1381100,0,-1381100,-1381100,7300,7300
72557,1,1381300,1381300,0,-1381300,-1381300,7100,7100
72560,1,1381900,1381900,0,-1381900,-1381900,6500,6500
72563,1,1388200,1388200,0,-1388200,-1388200,200,200
72565,1,1288000,1288000,0,-1288000,-1288000,100400,100400
72566,1,1378300,1378300,0,-1378300,-1378300,10100,10100
72567,1,1379500,1379500,0,-1379500,-1379500,8900,8900
72570,1,1383800,1383800,0,-1383800,-1383800,4600,4600
72577,1,1386100,1386100,0,-1386100,-1386100,2300,2300
72579,1,1364300,1364300,0,-1364300,-1364300,24100,24100
72580,1,1353300,1353300,0,-1353300,-1353300,35100,35100
72582,1,1382000,1382000,0,-1382000,-1382000,6400,6400
